title,description_type,class_prob_human,class_prob_ai,class_prob_mixed,confidence_score_ai,confidence_score_human,confidence_score_mixed,confidence_score,predicted_class
kitchedaid_5_more_then_20_color_,human_description,0.9886619548292076,0.011338045170792403,0.0,0.011338045170792403,0.9886619548292076,0.0,0.9886619548292076,human
kitchedaid_5_more_then_20_color_,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai
matein_17_inch_laptop_backpack_t,human_description,0.9610148666808178,0.03894066352106645,4.446979811567727e-05,0.03894066352106645,0.9610148666808178,4.446979811567727e-05,0.9610148666808178,human
matein_17_inch_laptop_backpack_t,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai
stainless_steel_refrigerator_sho,human_description,0.4190417250252434,0.5809582749747565,0.0,0.5809582749747565,0.4190417250252434,0.0,0.5809582749747565,ai
stainless_steel_refrigerator_sho,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai
philips_sonicare_4100_power_toot,human_description,0.9886619548292076,0.011338045170792403,0.0,0.011338045170792403,0.9886619548292076,0.0,0.9886619548292076,human
philips_sonicare_4100_power_toot,llm_description,0.1292153310651919,0.8705882930517305,0.00019637588307779924,0.8705882930517305,0.1292153310651919,0.00019637588307779924,0.8705882930517305,ai
metene_shower_brush_with_soft_an,human_description,0.9537978031008362,0.04620219689916382,0.0,0.04620219689916382,0.9537978031008362,0.0,0.9537978031008362,human
metene_shower_brush_with_soft_an,llm_description,0.23924009171306906,0.7607599082869309,0.0,0.7607599082869309,0.23924009171306906,0.0,0.7607599082869309,ai
cartman_39_piece_tool_set_genera,human_description,0.9610576047184772,0.03894239528152276,0.0,0.03894239528152276,0.9610576047184772,0.0,0.9610576047184772,human
cartman_39_piece_tool_set_genera,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai
6pack3366610_ft_original_apple_m,human_description,0.9592346401188311,0.04030645949813821,0.000458900383030751,0.04030645949813821,0.9592346401188311,0.000458900383030751,0.9592346401188311,human
6pack3366610_ft_original_apple_m,llm_description,0.0,0.9990739025745509,0.0009260974254491572,0.9990739025745509,0.0,0.0009260974254491572,0.9990739025745509,ai
bulova_mens_marine_star_gold_chr,human_description,0.9982583254114066,0.001741674588593411,0.0,0.001741674588593411,0.9982583254114066,0.0,0.9982583254114066,human
bulova_mens_marine_star_gold_chr,llm_description,0.5157161042806047,0.48328200007212624,0.0010018956472691326,0.48328200007212624,0.5157161042806047,0.0010018956472691326,0.5157161042806047,human
zuzuan_2_piece_hammer_setinclude,human_description,0.998260799764539,0.001739200235460955,0.0,0.001739200235460955,0.998260799764539,0.0,0.998260799764539,human
zuzuan_2_piece_hammer_setinclude,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai
apple_2023_macbook_pro_laptop_m2,human_description,0.99153255582052,0.008467444179479929,0.0,0.008467444179479929,0.99153255582052,0.0,0.99153255582052,human
